calibdensity_B41	depth_calibdensity_B41
0.3694705	0.1584012
0.3685609	0.1585492
0.368421	0.1586973
0.3714997	0.1588453
0.3683044	0.1589933
0.3679779	0.1591414
0.3693773	0.1592894
0.3670682	0.1594374
0.3666251	0.1595855
0.3703569	0.1597335
0.3685609	0.1598816
0.3702869	0.1600296
0.3669516	0.1601776
0.3641061	0.1603257
0.3689108	0.1604737
0.3683044	0.1606218
0.3670449	0.1607698
0.369354	0.1609178
0.3691207	0.1610659
0.3712431	0.1612139
0.3675114	0.1613619
0.3715231	0.16151
0.3696805	0.161658
0.3745318	0.1618061
0.3721994	0.1619541
0.3719895	0.1621021
0.3694006	0.1622502
0.3724093	0.1623982
0.3737155	0.1625463
0.3725026	0.1626943
0.3731557	0.1628423
0.3748817	0.1629904
0.3734822	0.1631384
0.3730158	0.1632864
0.3736222	0.1634345
0.3762577	0.1635825
0.3758613	0.1637306
0.3751849	0.1638786
0.373319	0.1640266
0.3713131	0.1641747
0.3752082	0.1643227
0.3724327	0.1644708
0.3746484	0.1646188
0.3737621	0.1647668
0.3708	0.1649149
0.3737621	0.1650629
0.373972	0.165211
0.374042	0.165359
0.3704268	0.165507
0.3707533	0.1656551
0.3742752	0.1658031
0.3749749	0.1659511
0.3739021	0.1660992
0.3717796	0.1662472
0.3734822	0.1663953
0.374112	0.1665433
0.3704268	0.1666913
0.3739953	0.1668394
0.3726426	0.1669874
0.3740653	0.1671355
0.374112	0.1672835
0.3723161	0.1674315
0.3742053	0.1675796
0.3729458	0.1677276
0.3751615	0.1678756
0.3762577	0.1680237
0.3726659	0.1681717
0.3738088	0.1683198
0.3761411	0.1684678
0.3756513	0.1686158
0.3748117	0.1687639
0.3741586	0.1689119
0.373179	0.16906
0.3721761	0.169208
0.3751382	0.169356
0.3792898	0.1695041
0.3722927	0.1696521
0.3745318	0.1698001
0.3725026	0.1699482
0.3739487	0.1700962
0.375698	0.1702443
0.3755347	0.1703923
0.3776339	0.1705403
0.3766076	0.1706884
0.3739254	0.1708364
0.3739953	0.1709845
0.3739254	0.1711325
0.3781703	0.1712805
